q_1_1_s1|Which laws enforced racial segregation and discrimination in the Southern states in the 1950s?|Jim Crow laws
q_1_1_s2|What does the abbreviation NAACP stand for?|National Association for the Advancement of Colored People
q_1_1_s3|Which civil rights organisation was founded in Chicago in 1942 to champion non-violent direct action?|CORE (Congress of Racial Equality)
q_1_1_s4|What primary method did the NAACP use in the early 1950s to fight racial inequality?|Legal action through the courts
q_1_1_s5|Why did Black Americans find it almost impossible to register to vote in the South in the early 1950s?|Due to literacy tests, poll taxes, and white intimidation
q_1_1_s6|What was the doctrine established by the 1896 Plessy v. Ferguson Supreme Court ruling?|Separate but equal
q_1_1_s7|Why did the Congress of Racial Equality (CORE) choose to use non-violent direct action?|To expose the injustice of segregation to the public and force change
q_1_1_s8|Who was the first Black American to head the NAACP Legal Defense and Educational Fund, coordinating early court battles?|Thurgood Marshall
q_1_1_s9|Which US President issued Executive Order 9981 in 1948 to desegregate the United States Armed Forces?|Harry S. Truman
q_1_1_s10|What constitutional amendment, passed in 1868, contains the Equal Protection Clause used by the NAACP to challenge segregation?|14th Amendment
q_1_1_d1|What term describes the local taxes citizens had to pay in order to vote, used to disenfranchise Black voters?|Poll taxes
q_1_1_d2|What tests were designed to prevent Black citizens from registering to vote by asking complex questions?|Literacy tests
q_1_1_d3|In what year was the NAACP originally founded?|1909
q_1_1_d4|Which landmark Supreme Court case struck down the Texas 'white primary' voting restriction in 1944?|Smith v. Allwright
q_1_1_d5|Why did many Black Americans face severe economic intimidation if they attempted to register to vote in the South?|Because white landowners and employers would fire or evict them
q_1_2_s1|Which 1954 Supreme Court case declared segregation in public schools unconstitutional?|Brown v. Board of Education of Topeka
q_1_2_s2|What was the name given to the group of Black students who integrated Central High School in Arkansas in 1957?|The Little Rock Nine
q_1_2_s3|Who was the chief justice of the Supreme Court during the Brown v. Board ruling?|Earl Warren
q_1_2_s4|Who was the Governor of Arkansas who defied federal court orders and blocked school integration in 1957?|Orval Faubus
q_1_2_s5|Which elite military division was deployed by President Eisenhower to protect the Little Rock Nine?|101st Airborne Division
q_1_2_s6|Who was the lead NAACP lawyer who successfully argued the Brown case before the Supreme Court?|Thurgood Marshall
q_1_2_s7|In what year did the integration crisis at Little Rock Central High School occur?|1957
q_1_2_s8|What was the full name of the high school integrated in Little Rock?|Central High School
q_1_2_s9|What action did Governor Faubus take in 1958 to prevent further school integration?|Closed all Little Rock high schools
q_1_2_s10|Who was the first Black student to graduate from Little Rock Central High School?|Ernest Green
q_1_2_d1|What was the name of the 1955 Supreme Court order requiring school desegregation 'with all deliberate speed'?|Brown II
q_1_2_d2|Which 1950 Supreme Court case ruled that Texas must admit a Black student to its state law school?|Sweatt v. Painter
q_1_2_d3|Who was the first Black child to integrate an all-white elementary school in the South, in New Orleans in 1960?|Ruby Bridges
